time (s)	det(V)
343.693283	-0.175750	
343.695285	-0.181065	
343.697283	-0.186934	
343.699283	-0.194800	
343.701283	-0.201296	
343.703283	-0.208435	
343.707282	-0.215286	
343.709283	-0.232103	
343.711283	-0.239645	
343.713283	-0.247774	
343.715283	-0.255444	
343.717283	-0.263308	
343.719283	-0.271963	
343.721283	-0.280657	
343.723282	-0.289150	
343.727282	-0.297991	
343.729283	-0.318351	
343.733283	-0.328630	
343.735283	-0.345735	
343.737283	-0.356239	
343.739284	-0.365796	
343.741283	-0.374853	
343.745282	-0.384885	
343.747283	-0.403543	
343.749283	-0.413373	
343.751283	-0.422904	
343.753283	-0.430855	
343.755283	-0.439893	
343.757284	-0.448054	
343.759283	-0.458175	
343.761283	-0.467631	
343.765282	-0.477160	
343.769282	-0.497949	
343.771284	-0.516255	
343.773283	-0.522947	
343.775283	-0.531583	
343.777283	-0.539868	
343.779283	-0.547439	
343.781283	-0.555060	
343.783283	-0.563277	
343.787283	-0.570399	
343.791283	-0.581799	
343.793284	-0.590923	
343.795283	-0.593836	
343.797283	-0.598504	
343.799283	-0.602360	
343.803282	-0.604261	
343.805283	-0.609062	
343.807283	-0.609792	
343.809283	-0.610613	
343.811285	-0.609120	
343.813283	-0.606954	
343.815284	-0.606115	
343.817283	-0.603557	
343.819283	-0.600025	
343.823282	-0.596039	
343.825283	-0.587541	
343.827283	-0.581168	
343.829283	-0.573669	
343.831283	-0.566093	
343.833283	-0.556756	
343.835284	-0.547493	
343.837283	-0.538832	
343.839283	-0.527231	
343.841283	-0.515313	
343.845284	-0.505921	
343.849283	-0.479961	
343.851283	-0.451746	
343.853285	-0.438408	
343.855283	-0.424925	
343.857283	-0.410488	
343.861282	-0.397901	
343.863283	-0.369269	
343.865283	-0.353218	
343.867283	-0.336247	
343.869285	-0.318467	
343.871284	-0.300439	
343.873283	-0.281429	
343.875283	-0.264244	
343.877285	-0.244849	
343.881282	-0.226292	
343.883282	-0.190710	
343.885283	-0.170830	
343.887284	-0.151516	
343.889284	-0.130865	
343.891283	-0.109264	
343.893283	-0.089424	
343.895283	-0.069367	
343.897283	-0.049003	
343.899283	-0.028921	
343.903283	-0.010230	
343.907283	0.030869	
343.909283	0.072044	
343.911283	0.091847	
343.913284	0.111691	
343.915283	0.129685	
343.919282	0.149590	
343.921282	0.184152	
343.923283	0.203109	
343.925283	0.221741	
343.927284	0.240484	
343.929283	0.258915	
343.931285	0.276600	
343.933283	0.294349	
343.935283	0.311859	
343.939282	0.328519	
343.943283	0.361313	
343.945283	0.392932	
343.947283	0.408413	
343.949283	0.421065	
343.951283	0.433701	
343.953283	0.447468	
343.957285	0.461370	
343.959283	0.485807	
343.961283	0.498768	
343.965283	0.510624	
343.967283	0.532743	
343.969283	0.542487	
343.971283	0.551152	
343.973283	0.559920	
343.975283	0.567587	
343.977282	0.572921	
343.981284	0.579459	
343.983283	0.590155	
343.985283	0.595088	
343.987283	0.598908	
343.989283	0.602966	
343.991283	0.604668	
343.993283	0.607012	
343.995283	0.608886	
343.997283	0.606847	
343.999283	0.606574	
344.001283	0.605695	
344.005285	0.603596	
344.007284	0.601184	
344.009283	0.597820	
344.011283	0.594468	
344.013283	0.588864	
344.017283	0.583898	
344.019284	0.570592	
344.021283	0.564022	
344.023283	0.557263	
344.025283	0.550684	
344.027283	0.543800	
344.029283	0.536108	
344.031283	0.526507	
344.033285	0.518113	
344.037282	0.509246	
344.039283	0.488901	
344.043283	0.479704	
344.045283	0.461701	
344.047283	0.451805	
344.049285	0.441151	
344.051283	0.431761	
344.055283	0.422762	
344.057283	0.403712	
344.059283	0.393999	
344.063283	0.385225	
344.065283	0.366838	
344.067285	0.357266	
344.069283	0.346558	
344.071283	0.336910	
344.073283	0.328443	
344.075283	0.316498	
344.079283	0.306741	
344.081283	0.288568	
344.083283	0.280602	
344.085283	0.272347	
344.087283	0.263469	
344.089283	0.254547	
344.091283	0.247534	
344.093283	0.239366	
344.095283	0.229931	
344.097283	0.222426	
344.099283	0.213861	
344.103283	0.207157	
344.105283	0.194116	
344.107285	0.187909	
344.109283	0.181192	
344.111283	0.174659	
344.115283	0.169092	
344.117283	0.154634	
