num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
489	698.106729	64.336223	21.747468	3.753823	7.965087
491	700.170820	64.188859	21.571545	3.756301	7.097152
493	702.236481	63.923664	21.524135	3.760844	7.974469
497	706.371039	63.731925	21.487689	3.761538	8.138170
499	708.435907	63.846079	21.433067	3.762920	8.636004
501	710.499206	63.847998	21.457591	3.766003	8.149887
503	712.565361	63.819061	21.343473	3.771156	7.779711
505	714.626086	63.769621	21.299329	3.777211	7.746581
507	716.691544	63.364750	21.165052	3.780203	8.079887
509	718.756845	63.284820	21.106866	3.780171	8.234367
511	720.821766	63.112606	21.094165	3.785232	8.349248
513	722.888733	63.074827	21.097234	3.788891	8.549767
515	724.955606	63.022181	21.099152	3.791810	8.407855
517	727.021288	63.127721	21.051210	3.795713	8.201600
519	729.087833	63.011222	20.963382	3.796043	8.735994
521	731.151245	62.907345	20.912297	3.796975	8.336965
523	733.215973	62.944713	20.927631	3.802237	8.379225
525	735.279618	62.851648	20.830791	3.804687	8.423728
527	737.341837	62.377997	20.748980	3.809106	8.569841
531	741.473266	62.451255	20.500397	3.807496	8.095182
533	743.540479	62.552883	20.573333	3.811295	8.054862
535	745.607127	62.640376	20.554513	3.814538	7.797664
537	747.673536	62.341386	20.536241	3.824174	8.243631
539	749.741313	62.312264	20.568379	3.825941	8.140913
541	751.804911	62.094442	20.403649	3.827964	8.315956
543	753.866720	62.014370	20.337166	3.829742	8.535576
545	755.929259	62.420297	20.360355	3.825446	8.211223
547	757.994264	62.302322	20.291301	3.826716	8.375258
549	760.058925	62.026075	20.202747	3.831292	8.011300
551	762.125278	62.161193	20.129915	3.835720	7.839187
553	764.190513	61.682378	20.082711	3.837448	8.064490
555	766.256074	61.828680	20.039635	3.839700	7.798608
557	768.321230	61.881968	20.031403	3.843526	7.710078
559	770.386251	61.786771	19.955307	3.845100	8.116319
561	772.451201	61.760936	19.853910	3.849377	8.459013
563	774.514958	61.492424	20.062965	3.859402	8.177251
565	776.580033	61.473115	19.885125	3.856690	8.170260
567	778.646512	61.117016	19.819797	3.858587	8.357918
569	780.713239	61.033468	19.785497	3.858668	8.507746
571	782.780557	61.094117	19.865162	3.866443	8.335551
573	784.847739	61.172959	19.801390	3.864808	8.199517
575	786.912132	60.535561	19.652821	3.865515	8.278453
577	788.977237	61.065273	19.616030	3.865768	7.942698
579	791.040298	61.262186	19.574523	3.870622	7.992523
583	795.167325	60.930258	19.439825	3.878926	8.025347
585	797.231636	61.023889	19.440076	3.883353	7.849055
587	799.295601	60.782116	19.428486	3.882201	8.021194
589	801.361723	60.574780	19.422388	3.884013	8.408651
591	803.427074	60.562672	19.397684	3.887910	8.127336
595	807.557199	60.650234	19.347526	3.890482	8.452507
597	809.622795	60.438308	19.313092	3.895830	7.990185
599	811.687067	60.316161	19.304857	3.894988	8.165333
