crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	11.356176	837	0.000000
281474976710655.000000	12.857329	838	0.000000
281474976710655.000000	11.955434	839	0.000000
281474976710655.000000	12.081861	840	0.000000
281474976710655.000000	11.505893	841	0.000000
281474976710655.000000	11.256077	842	0.000000
281474976710655.000000	11.224197	843	0.000000
281474976710655.000000	11.763664	844	0.000000
281474976710655.000000	11.456132	845	0.000000
281474976710655.000000	12.271317	846	0.000000
281474976710655.000000	11.531141	847	0.000000
281474976710655.000000	11.844296	848	0.000000
281474976710655.000000	10.915747	849	0.000000
281474976710655.000000	11.507103	850	0.000000
281474976710655.000000	10.794403	851	0.000000
281474976710655.000000	11.699465	852	0.000000
281474976710655.000000	11.218732	853	0.000000
281474976710655.000000	12.003751	854	0.000000
281474976710655.000000	10.809433	855	0.000000
281474976710655.000000	12.143971	856	0.000000
281474976710655.000000	10.694942	857	0.000000
281474976710655.000000	11.769521	858	0.000000
281474976710655.000000	10.766827	859	0.000000
281474976710655.000000	11.417465	860	0.000000
281474976710655.000000	10.643097	861	0.000000
281474976710655.000000	11.559553	862	0.000000
281474976710655.000000	10.982167	863	0.000000
281474976710655.000000	11.365054	864	0.000000
281474976710655.000000	10.605137	865	0.000000
281474976710655.000000	11.163517	866	0.000000
281474976710655.000000	10.543153	867	0.000000
281474976710655.000000	11.047850	868	0.000000
281474976710655.000000	10.892118	869	0.000000
281474976710655.000000	11.257607	870	0.000000
281474976710655.000000	10.795656	871	0.000000
281474976710655.000000	10.869525	872	0.000000
281474976710655.000000	10.489319	873	0.000000
281474976710655.000000	10.705942	874	0.000000
281474976710655.000000	10.336679	875	0.000000
281474976710655.000000	10.731155	876	0.000000
281474976710655.000000	10.664041	877	0.000000
281474976710655.000000	10.755740	878	0.000000
281474976710655.000000	10.645581	879	0.000000
281474976710655.000000	10.525519	880	0.000000
281474976710655.000000	10.273779	881	0.000000
281474976710655.000000	10.621592	882	0.000000
281474976710655.000000	10.313197	883	0.000000
281474976710655.000000	10.560265	884	0.000000
281474976710655.000000	10.347901	885	0.000000
281474976710655.000000	10.525665	886	0.000000
281474976710655.000000	9.921428	887	0.000000
281474976710655.000000	10.356981	888	0.000000
281474976710655.000000	9.892789	889	0.000000
281474976710655.000000	10.627632	890	0.000000
281474976710655.000000	9.947232	891	0.000000
281474976710655.000000	10.716139	892	0.000000
281474976710655.000000	9.828250	893	0.000000
281474976710655.000000	10.483244	894	0.000000
281474976710655.000000	9.661196	895	0.000000
281474976710655.000000	10.386970	896	0.000000
281474976710655.000000	9.578209	897	0.000000
281474976710655.000000	10.455815	898	0.000000
281474976710655.000000	9.665377	899	0.000000
281474976710655.000000	10.347212	900	0.000000
281474976710655.000000	9.414688	901	0.000000
281474976710655.000000	10.314003	902	0.000000
281474976710655.000000	9.530177	903	0.000000
281474976710655.000000	10.066148	904	0.000000
281474976710655.000000	9.401375	905	0.000000
281474976710655.000000	10.099896	906	0.000000
281474976710655.000000	9.287457	907	0.000000
281474976710655.000000	9.922485	908	0.000000
281474976710655.000000	9.399167	909	0.000000
281474976710655.000000	9.867400	910	0.000000
281474976710655.000000	9.465233	911	0.000000
281474976710655.000000	9.807609	912	0.000000
281474976710655.000000	9.155201	913	0.000000
281474976710655.000000	9.776416	914	0.000000
281474976710655.000000	9.285852	915	0.000000
281474976710655.000000	9.727061	916	0.000000
281474976710655.000000	9.189157	917	0.000000
281474976710655.000000	9.701649	918	0.000000
281474976710655.000000	9.048051	919	0.000000
281474976710655.000000	9.590132	920	0.000000
281474976710655.000000	9.157555	921	0.000000
281474976710655.000000	9.707150	922	0.000000
281474976710655.000000	8.837513	923	0.000000
281474976710655.000000	9.745059	924	0.000000
281474976710655.000000	8.808216	925	0.000000
281474976710655.000000	9.619509	926	0.000000
281474976710655.000000	8.720025	927	0.000000
281474976710655.000000	9.657979	928	0.000000
281474976710655.000000	8.758554	929	0.000000
281474976710655.000000	9.493965	930	0.000000
281474976710655.000000	8.810807	931	0.000000
281474976710655.000000	9.552751	932	0.000000
281474976710655.000000	8.637087	933	0.000000
281474976710655.000000	9.297972	934	0.000000
281474976710655.000000	8.665213	935	0.000000
281474976710655.000000	9.316877	936	0.000000
281474976710655.000000	8.695032	937	0.000000
281474976710655.000000	9.247540	938	0.000000
281474976710655.000000	8.632133	939	0.000000
281474976710655.000000	9.101052	940	0.000000
281474976710655.000000	8.591145	941	0.000000
281474976710655.000000	9.033812	942	0.000000
281474976710655.000000	8.589474	943	0.000000
281474976710655.000000	8.886464	944	0.000000
281474976710655.000000	8.499988	945	0.000000
281474976710655.000000	8.914539	946	0.000000
281474976710655.000000	8.452736	947	0.000000
281474976710655.000000	8.836729	948	0.000000
281474976710655.000000	8.364938	949	0.000000
281474976710655.000000	8.777020	950	0.000000
281474976710655.000000	8.339808	951	0.000000
281474976710655.000000	8.856172	952	0.000000
281474976710655.000000	8.290319	953	0.000000
281474976710655.000000	8.733024	954	0.000000
281474976710655.000000	8.240268	955	0.000000
281474976710655.000000	8.718309	956	0.000000
281474976710655.000000	8.156825	957	0.000000
281474976710655.000000	8.818380	958	0.000000
281474976710655.000000	8.146038	959	0.000000
281474976710655.000000	8.936985	960	0.000000
281474976710655.000000	7.996635	961	0.000000
281474976710655.000000	8.811096	962	0.000000
281474976710655.000000	7.965327	963	0.000000
281474976710655.000000	8.929257	964	0.000000
281474976710655.000000	7.891725	965	0.000000
281474976710655.000000	8.803063	966	0.000000
281474976710655.000000	7.834889	967	0.000000
281474976710655.000000	8.759727	968	0.000000
281474976710655.000000	7.912824	969	0.000000
281474976710655.000000	8.546735	970	0.000000
281474976710655.000000	7.822072	971	0.000000
281474976710655.000000	8.557467	972	0.000000
281474976710655.000000	7.720283	973	0.000000
281474976710655.000000	8.525295	974	0.000000
281474976710655.000000	7.742393	975	0.000000
281474976710655.000000	8.530592	976	0.000000
281474976710655.000000	7.667440	977	0.000000
281474976710655.000000	8.383864	978	0.000000
281474976710655.000000	7.706452	979	0.000000
281474976710655.000000	8.241961	980	0.000000
281474976710655.000000	7.671462	981	0.000000
281474976710655.000000	8.244444	982	0.000000
281474976710655.000000	7.611622	983	0.000000
281474976710655.000000	8.154336	984	0.000000
281474976710655.000000	7.547227	985	0.000000
281474976710655.000000	8.233902	986	0.000000
281474976710655.000000	7.500765	987	0.000000
281474976710655.000000	8.268342	988	0.000000
281474976710655.000000	7.427014	989	0.000000
281474976710655.000000	8.173776	990	0.000000
281474976710655.000000	7.442029	991	0.000000
281474976710655.000000	8.186749	992	0.000000
281474976710655.000000	7.343881	993	0.000000
281474976710655.000000	8.180017	994	0.000000
281474976710655.000000	7.291695	995	0.000000
281474976710655.000000	8.146276	996	0.000000
281474976710655.000000	7.246953	997	0.000000
281474976710655.000000	8.102797	998	0.000000
281474976710655.000000	7.290214	999	0.000000
281474976710655.000000	8.058318	1000	0.000000
281474976710655.000000	7.289873	1001	0.000000
281474976710655.000000	7.963011	1002	0.000000
281474976710655.000000	7.199600	1003	0.000000
281474976710655.000000	7.931046	1004	0.000000
281474976710655.000000	7.183941	1005	0.000000
281474976710655.000000	7.781693	1006	0.000000
281474976710655.000000	7.156184	1007	0.000000
281474976710655.000000	7.786266	1008	0.000000
281474976710655.000000	7.176360	1009	0.000000
281474976710655.000000	7.708781	1010	0.000000
281474976710655.000000	7.069323	1011	0.000000
281474976710655.000000	7.618680	1012	0.000000
281474976710655.000000	7.082918	1013	0.000000
281474976710655.000000	7.593005	1014	0.000000
281474976710655.000000	7.059796	1015	0.000000
281474976710655.000000	7.520755	1016	0.000000
281474976710655.000000	7.033696	1017	0.000000
